ACCIDENT_NO,VEHICLE_ID,VEHICLE_YEAR_MANUF,VEHICLE_DCA_CODE,INITIAL_DIRECTION,ROAD_SURFACE_TYPE,ROAD_SURFACE_TYPE_DESC,REG_STATE,VEHICLE_BODY_STYLE,VEHICLE_MAKE,VEHICLE_MODEL,VEHICLE_POWER,VEHICLE_TYPE,VEHICLE_TYPE_DESC,VEHICLE_WEIGHT,CONSTRUCTION_TYPE,FUEL_TYPE,NO_OF_WHEELS,NO_OF_CYLINDERS,SEATING_CAPACITY,TARE_WEIGHT,TOTAL_NO_OCCUPANTS,CARRY_CAPACITY,CUBIC_CAPACITY,FINAL_DIRECTION,DRIVER_INTENT,VEHICLE_MOVEMENT,TRAILER_TYPE,VEHICLE_COLOUR_1,VEHICLE_COLOUR_2,CAUGHT_FIRE,INITIAL_IMPACT,LAMPS,LEVEL_OF_DAMAGE,TOWED_AWAY_FLAG,TRAFFIC_CONTROL,TRAFFIC_CONTROL_DESC
T20120000169,A,2004,2,NE,1,Paved,V,SEDAN,SUBARU,LIBERT,,1,Car,,R,P,4,4,5,1395,2,,,NE,1,1,H,BLU,ZZ,2,F,2,4,1,0,No control
T20120000169,B,,1,SW,1,Paved,N,P VAN,NISSAN,T30 CO,,2,Station Wagon,,,Z,,4,,1435,1,,,NW,2,2,H,SIL,ZZ,2,5,2,4,1,0,No control
T20120000174,A,2000,1,NW,1,Paved,V,SEDAN,HYNDAI,SONATA,,1,Car,,R,P,4,6,5,1500,1,,,NW,6,6,H,WHI,ZZ,2,1,1,5,1,0,No control
T20120000174,B,2007,2,NW,1,Paved,V,SEDAN,LEXUS,GS300,,1,Car,,R,P,4,6,5,1620,2,,,NW,1,1,H,SIL,ZZ,2,8,1,5,1,0,No control
T20120000178,A,1993,1,W,1,Paved,V,COUPE,NISSAN,NXR,,1,Car,,R,P,4,4,4,1100,6,,,W,1,18,H,RED,ZZ,2,7,2,5,1,9,Roundabout
T20120000185,A,2007,1,SW,1,Paved,V,SEDAN,SUBARU,LIBERT,,1,Car,,R,P,4,4,5,1545,1,,,SW,6,18,H,BLU,ZZ,2,3,9,5,1,0,No control
T20120000186,A,2001,1,E,1,Paved,V,COUPE,HYNDAI,ACCENT,,1,Car,,R,P,4,4,5,950,1,,,S,2,2,H,GRY,ZZ,2,1,2,4,1,3,Out of order
T20120000186,B,2001,2,W,1,Paved,V,SEDAN,HOLDEN,ASTRA,,1,Car,,R,P,4,4,5,1329,1,,,W,1,1,H,BLU,ZZ,2,F,2,4,1,3,Out of order
T20120000190,A,2010,2,N,1,Paved,V,SEDAN,MAZDA,3,,1,Car,,R,P,4,4,5,1255,1,,,N,15,15,H,RED,ZZ,2,R,2,1,2,1,Stop-go lights
T20120000190,B,2004,1,N,1,Paved,V,SEDAN,TOYOTA,CAMRY,,1,Car,,R,P,4,4,5,1300,1,,,N,1,1,H,BLU,ZZ,2,R,2,1,2,1,Stop-go lights
T20120000190,C,1997,8,N,1,Paved,V,WAGON,HONDA,ODYSSE,,2,Station Wagon,,R,P,4,4,7,1500,1,,,N,1,1,H,RED,ZZ,2,F,2,1,2,1,Stop-go lights
T20120000190,D,2001,8,N,1,Paved,V,SEDAN,TOYOTA,CAMRY,,1,Car,,R,P,4,4,5,1235,1,,,N,1,1,H,FWN,ZZ,2,F,2,3,1,1,Stop-go lights
T20120000190,E,2002,8,N,1,Paved,V,SEDAN,TOYOTA,COROLL,,1,Car,,R,P,4,4,5,1049,1,,,N,17,17,H,SIL,ZZ,2,R,2,1,2,1,Stop-go lights
T20120000190,F,1997,8,N,1,Paved,V,DC UTE,NISSAN,NAVARA,,4,Utility,2730,R,M,4,6,5,1400,1,1330,,N,17,17,H,WHI,ZZ,2,F,2,1,2,1,Stop-go lights
T20120000190,G,1996,8,N,1,Paved,V,UTIL,TOYOTA,HILUX,,4,Utility,,R,P,4,4,2,1280,1,,2400,N,17,17,H,WHI,ZZ,2,F,2,1,2,1,Stop-go lights
T20120000190,H,1984,8,N,1,Paved,V,SEDAN,MITSUB,COLT,,1,Car,,R,P,4,4,5,900,1,,,N,17,17,H,BLU,ZZ,2,R,2,1,2,1,Stop-go lights
T20120000190,I,2006,8,N,1,Paved,V,SEDAN,HOLDEN,COMMOD,,1,Car,,R,P,4,6,5,1622,1,,,N,17,17,H,RED,ZZ,2,F,2,1,2,1,Stop-go lights
T20120000190,J,2002,8,N,1,Paved,V,SEDAN,MERC B,C180,,1,Car,,R,P,4,4,5,1455,1,,,NK,17,17,H,WHI,ZZ,2,F,2,1,2,1,Stop-go lights
T20120000190,K,2011,8,N,1,Paved,V,SEDAN,HOLDEN,CRUZE,,1,Car,,R,P,4,4,5,1439,1,,,N,17,17,H,BLK,ZZ,2,R,2,1,2,1,Stop-go lights
T20120000190,L,2008,8,N,1,Paved,V,SEDAN,HONDA,JAZZ,,1,Car,,R,P,4,4,5,1065,1,,,N,15,15,H,BLU,ZZ,2,R,2,3,1,1,Stop-go lights
T20120000190,M,1989,8,N,1,Paved,V,SEDAN,NISSAN,SKYLNE,,1,Car,,R,M,4,6,5,1400,1,,,N,1,1,H,BRN,ZZ,2,F,2,3,1,1,Stop-go lights
T20120000195,A,2011,1,W,1,Paved,V,WAGON,VOLKS,TIGUAN,,2,Station Wagon,,R,P,4,4,5,1660,1,,,N,2,2,H,BLK,ZZ,2,5,9,3,1,1,Stop-go lights
T20120000195,B,2001,2,E,1,Paved,V,SEDAN,HOLDEN,COMMOD,,1,Car,,R,P,4,6,5,1550,1,,,E,1,1,H,GLD,ZZ,2,F,9,4,1,1,Stop-go lights
T20120000196,A,1989,1,SE,1,Paved,V,TRAY,TOYOTA,LCRUSR,,4,Utility,,R,D,4,6,3,2500,1,,,SE,1,18,H,BRN,ZZ,2,F,0,4,1,0,No control
